,Año,Trimestre,Provincia,Accesos por cada 100 hogares
214,2020,1,Tierra Del Fuego,76.07
215,2020,1,Tucumán,47.85
216,2019,4,Buenos Aires,64.25
217,2019,4,Capital Federal,106.25
218,2019,4,Catamarca,36.44
219,2019,4,Chaco,36.84
220,2019,4,Chubut,51.15
221,2019,4,Córdoba,70.48
222,2019,4,Corrientes,38.77
223,2019,4,Entre Ríos,57.99
224,2019,4,Formosa,30.47
225,2019,4,Jujuy,45.38
226,2019,4,La Pampa,76.92
227,2019,4,La Rioja,47.14
228,2019,4,Mendoza,33.65
229,2019,4,Misiones,39.79
230,2019,4,Neuquén,59.36
231,2019,4,Río Negro,55.71
232,2019,4,Salta,50.35
233,2019,4,San Juan,32.85
234,2019,4,San Luis,74.92
235,2019,4,Santa Cruz,36.71
236,2019,4,Santa Fe,69.48
237,2019,4,Santiago Del Estero,42.92
238,2019,4,Tierra Del Fuego,79.7
239,2019,4,Tucumán,47.65
240,2019,3,Buenos Aires,69.36
241,2019,3,Capital Federal,112.65
242,2019,3,Catamarca,30.88
243,2019,3,Chaco,35.85
244,2019,3,Chubut,47.57
245,2019,3,Córdoba,68.59
246,2019,3,Corrientes,38.49
247,2019,3,Entre Ríos,57.9
248,2019,3,Formosa,30.11
249,2019,3,Jujuy,44.32
250,2019,3,La Pampa,77.45
251,2019,3,La Rioja,47.94
252,2019,3,Mendoza,40.74
253,2019,3,Misiones,39.33
254,2019,3,Neuquén,64.14
255,2019,3,Río Negro,63.42
256,2019,3,Salta,44.48
257,2019,3,San Juan,37.06
258,2019,3,San Luis,85.23
259,2019,3,Santa Cruz,35.63
260,2019,3,Santa Fe,68.87
261,2019,3,Santiago Del Estero,55.3
262,2019,3,Tierra Del Fuego,96.46
263,2019,3,Tucumán,39.49
264,2019,2,Buenos Aires,67.85
265,2019,2,Capital Federal,110.55
266,2019,2,Catamarca,32.13
267,2019,2,Chaco,34.14
268,2019,2,Chubut,46.99
269,2019,2,Córdoba,68.07
270,2019,2,Corrientes,38.16
271,2019,2,Entre Ríos,57.48
272,2019,2,Formosa,30.42
273,2019,2,Jujuy,44.51
274,2019,2,La Pampa,77.08
275,2019,2,La Rioja,48.7
276,2019,2,Mendoza,40.75
277,2019,2,Misiones,39.15
278,2019,2,Neuquén,63.08
279,2019,2,Río Negro,61.09
280,2019,2,Salta,41.89
281,2019,2,San Juan,35.6
282,2019,2,San Luis,81.79
283,2019,2,Santa Cruz,28.85
284,2019,2,Santa Fe,67.42
285,2019,2,Santiago Del Estero,52.79
286,2019,2,Tierra Del Fuego,94.8
287,2019,2,Tucumán,40.14
288,2019,1,Buenos Aires,66.24
289,2019,1,Capital Federal,109.2
290,2019,1,Catamarca,32.19
291,2019,1,Chaco,32.64
292,2019,1,Chubut,43.0
293,2019,1,Córdoba,65.52
294,2019,1,Corrientes,35.13
295,2019,1,Entre Ríos,56.79
296,2019,1,Formosa,29.68
297,2019,1,Jujuy,46.41
298,2019,1,La Pampa,76.35
299,2019,1,La Rioja,50.18
300,2019,1,Mendoza,37.66
301,2019,1,Misiones,36.26
302,2019,1,Neuquén,58.88
303,2019,1,Río Negro,53.57
304,2019,1,Salta,40.1
305,2019,1,San Juan,31.83
306,2019,1,San Luis,67.34
307,2019,1,Santa Cruz,23.67
308,2019,1,Santa Fe,66.97
309,2019,1,Santiago Del Estero,37.52
310,2019,1,Tierra Del Fuego,93.38
311,2019,1,Tucumán,41.63
312,2018,4,Buenos Aires,64.6
313,2018,4,Capital Federal,108.27
314,2018,4,Catamarca,32.23
315,2018,4,Chaco,32.59
316,2018,4,Chubut,42.61
317,2018,4,Córdoba,65.09
318,2018,4,Corrientes,34.57
319,2018,4,Entre Ríos,54.37
320,2018,4,Formosa,29.74
321,2018,4,Jujuy,46.53
322,2018,4,La Pampa,73.49
323,2018,4,La Rioja,50.35
324,2018,4,Mendoza,37.76
325,2018,4,Misiones,34.45
326,2018,4,Neuquén,59.07
327,2018,4,Río Negro,51.86
328,2018,4,Salta,39.8
329,2018,4,San Juan,31.9
330,2018,4,San Luis,67.55
331,2018,4,Santa Cruz,23.69
332,2018,4,Santa Fe,65.59
333,2018,4,Santiago Del Estero,37.4
334,2018,4,Tierra Del Fuego,93.59
335,2018,4,Tucumán,41.76
336,2018,3,Buenos Aires,64.44
337,2018,3,Capital Federal,108.45
338,2018,3,Catamarca,32.92
339,2018,3,Chaco,32.28
340,2018,3,Chubut,56.39
341,2018,3,Córdoba,64.24
342,2018,3,Corrientes,34.25
343,2018,3,Entre Ríos,50.22
